target,text
4,@overheardatmoo I loved the cards I ordered plus the sticker book. Used my photos for cards &amp; loved the way they printed. recommended 
0,cant wait to go to texas.. i think? miss my daddy 
4,I've over-committed myself ... I'm sleeping so little these days. I guess this is growing up. 'Coffee Break' - @OFFICIALFTSK &lt;3 it 
4,@NacMacFeegle red hot here again so you wot they say bout maddogs and englishmen and midday sun.you should be up here.lol 
4,@blueglitterfish So happy to have you back on ATWT!! Welcome back! 
0,@JSWolck http://twitpic.com/55fw5 Currently at the vet - my little &quot;chicken&quot; had to get shots 
0,Up an idk y 
4,Going shopping with Mik and then playing Badminton later. Might pay a visit to the New Walk Museum 
4,@YumiFujii I meant u bring dates but ur idea is better. Lmao 
4,@marialavis You are blessed. I'm trapped in MÃ©xico City... dreaming about retiring (some day) to Vancouver or Victoria  ***Enjoy !***  
0,Just said goodbye to Michael. I'm going to miss that kid terribly 
0,i wish the second season of wipeout would appear on axn soon 
0,@matttraynor Happy Birthday Matt! Sorry I didn't call you earlier today. My phone is broken 
4,"ohhh, jus got a new hair cut  check it out on myspace!"
4,Lunch time *crunch.will simply have instant noddles today 
0,@kevskrilla lol yea I see. Its dead now tho. Gotta get a new 1 
0,I still can't understand why Windows is so popular... I've been sitting here for 20 minutes waiting for it to finish charring up my HDD 
4,@stevieness haha! is it working? 
4,@TheSUPERGIRL Maybe ill make a video and show ya what this beautiful place is all about 
0,"@HairToDieFor Nothing, my family has left me... uber sad "
0,hopefully my Chachi feels better tomorrow  :'(
4,A nice way to start the day  Parov Stelar  ? http://blip.fm/~7d6u3
4,"taking it easy tonight,gonna crash..hollywood tomorrow  hit me up to party"
0,@rachelorus FAIL.  I MISS YOU MUCLY ? INDEED.
0,"@DavidRoyCarr sorry to hear that hun, their loss "
0,"Heading to the Carpathians in about 1.5 hours. Forecasted to rain all weekend  Gotta go pack my hiking pack, will update as we go..."
4,@Karen_Eden Sorry for the confusion. Let me know if you'd like me to proof it. 
0,Watching the French Open. Djokovic is totally chocking 
4,"@lsmedialtd Just do it. It will be a fun goal to have, and will push you. Easy for me to say, since Im not running, huh?! "
0,@dinno and I'm going to offline for long time  hope i will have GPRS connection in my village so that i can tweet
4,@planethealer Thank you Becky for helping share that song! 
0,"@GingeTalksFooty *This is me eating crow for you Ginge.... Tough, disgusting, crow.* Goodbye 4. "
4,Good nap this afternoon after the 60 mile ride. Tired legs 
0,"Nothing left, was our love  the streets deserted, with no light, no sun  was the heat of love  nothing left of our love  - Nell"
0,@richardepryor must be catching !! mine is only 3 mths old from argos and cant find receipt 
0,@davidarchie goodluck with your show tonight &lt;3 i wish i lived in the states to see the tour 
0,@deadlyhouses Sure! I'll see what I can do! Why? Tired of work? I'm headed there myself. 
0,ok that was kinda tricky but yeah sister act and all those songs are right...we miss ms. hill 
4,@iamtherumour_ annnie babes!  i have to revise for busman  give me sympathy. hahaha
0,im bout 2 qo flat iron miie hair shoot i shoulda wrapped it last nite! grrrrrr 
0,Not so much goodness for TF2 on a MacBook Air  Maybe some graphics tweaks will make for a better frame rate?
0,"Whos good at translating Japanese? Need someone to translate a sentence for me, Google is doing fuck all for me "
4,Woke up with my baby by my side! YAY 
0,@mister_showtime I lost all my horny kitties and Britney Fuck Vids!!! I have a couple of sex-toy sites but its hardly the same 
4,Still riding high from Graduation - What an amazing 4 years!! 
4,"@paisleyofficial You need to come to Australia, when will u be coming here "
0,Pyrex mixing bowl shattered at the bottom = No more baking cookies for a while. Saddest day of my life. 
4,@mileycyrus who doesn't? her music's so catchy!  even though she's a little weird.... haha.
0,"@GDurham85 whoa, rejected.  @adMike I was rejected. Help?"
4,"The Sun Is Coming Out Know, Hooooorayyyyy "
0,Its raining hard 
0,@thebeerrun lol someone asked me about the cheba hut the other day.. ive never been tho 
0,"@Antwoinne good morning, ur up early. I called u back y'day. I was all happy then u didn't answer "
4,wehay! my first dodgy solo album. http://www.re-e.net/gtl.html 
0,I gotta say.. Today has been a  day.
0,"@future_classics 3? Pretty good, ha. I was off at 2 "
0,i miss my baby in japan 
4,Amazing night in Austin.. Perfect summer evening 
4,@mizzzhoneybee lol well u can ur a girl!! and luv the pic!!! 
4,"@chooyilin True, true. I hope they will have the good sense to think rationally. btw, I LOVE your jewelry! Gorgeous "
4,Wow...worked a little today..Drove to St. Paul...Fun Drive 
4,"Wohooo, a Werder jersey today!  Now they have to win!!! ^^"
0,This week is going to be EXTREEEEMLY long  
4,and officially lost my voice.. taraaa... welcome sexy! This is icha sexy speaking 
4,"aimee, if u get this message ring me tonight home phone (43631384)ily "
4,i really dislike helena 
4,my cousin @PinkMordeno and i are watching the video of our grandpa &amp; grandma's 50th wedding anniversary! 
0,I am alone all this week.  Sarah and the girls are in northern Illinois all week. 
0,Just ran.  still sore from yesterday.   ahh well haha
0,"Meet at four! waah, i'm semi-tan...and it hurts  mishin' my boy."
0,I have a big headache  #BSB
0,@StormClaudi OMG...HE JUST GOT SHOT  I am actually crying!!!!
0,@MajorProblem  That sounds so good. You are evil. Next time keep that info to yourself. Sigh...
4,Blast off in T-minus 32 sexonds and counting!  
0,PS -and I am going to enjoy it  because tomorrow the rain returns 
4,@bender22 Yeah!!  Everything Worked Out In The End !! ^-^
4,Happy Mother's to day to all you mommies out there!! I'm thankful for my 2 beautiful kids 
0,"Oh, arse! I missed the launch of SBS Two! "
4,Potstickers never tasted so good 
4,I just put the first 4 games of the NBA finals on my calendar.  Can you tell I'm unemployed?  
0,*gasp* youtube! 
4,WOOH! So glad to be home from wooooork!! 
0,"@cliffski Ouch, one of those times you wish you had pet insurance I guess  Hope your cat recovers well"
4,@blazinsamm you follow some pretty cool people. especially tegan and sara. follow @theteganandsara Official! 
0,I really wish I hadn't missed that call since its pretty much the only time I get to talk to him at all every week... 
4,Excited for Extreme Rules ... Yeahh 
4,Mmmm yummy toi!!! The best thai food on sunset  Had fun seeing my boyz again 2 nites in a row !!! Woop woop!!
4,@ThomasGudgeon sure 
0,OS X isn't finding my UPS at home 
4,@IAMtheCOMMODORE hi  can you let me know when you get greet and meet info? Still working on #FullMoonCrazy in boston...
0,"@dougiemcfly I'm not going to the Porto Alegre concert, so I can't bring Eclipse for you! "
4,"@a_simple_girl So I assume you already had breakfast?    And here I am, just &quot;up&quot; for breakfast now....we gotta work on our scheduling"
4,always on the move ... for food 
0,"@jujukoo You are, and idiot. "
0,"i would give my limbs for a feast of dal, naan, coconut korma, samosas &amp; chai tea right now "
0,@TraceCyrus You're going to love Finland! :' ) I'm so sad that I'm not able to go to your concert. 
4,I'm considering whether or not to divide my stuff up on different sites - probably will 
4,Excited to go get Chipotle with my mom and grandma  Hoping I'll be able to get into the FOB concert tonight!
4,@ddlovato can't wait for your new album! I'm a great fan of your music! 
4,morning time again football pitch is a calling 
4,@usmcrp http://twitpic.com/7i6q8 - Nice pic with that burr haircut!!! LOL! Just kiddin' with ya man! That was great!  I've got one to ...
4,is watching Hannah Montana 
0,nope...my head's gone. can't concentrate at all on what I need to do 
0,workworkwork it's my life  kinda wishing you would call or text but you won't.
0,@ NickkkJonasss  please reply  would you like to come to colombia? I want to be one of your shows aww!! would be awesome.. to meet you xo!
0,@ayenakocarmina Srry your best friend wasn't at church today.  
4,@TheTZA It's OK... sometimes life gets in the way of living life. Don't feel bad and I hope that things are OK now. 
4,"@AngeliasArt Can I use the mojo painting on my blog? I SO love it! I will,of course, credit you  http://bit.ly/14OX5G"
4,on the way to the airport 
0,@TheRaeRae  Dads are sometimes so dumb.
0,Okay. Seriously. I wanna sleep.  Idk if I'll be online tomorrow cause of my dad.  Love you guys. Goodnight.
4,Yesterday was amazing :| GLASGOW RANGERS  ! TOP OF THE LEAGUE !
0,"@MR_MOGUL I can't take scary movies, I have nightmares "
0,@bellewalk now i really want to see them live. 
0,"@JulienneBrown  No, unfortunately, I can't make it "
0,@InEveryWordISay I'm sorry. 
0,I'm not sure   ugh . . . . I just want isaac to know that i'm sorry   Omg i wish i had him in my arms. 
4,@ronchetti That sounds like the sort of con that I would like 
0,Good Morning Twitterverse!!! Just woke up with pancakes on the brain! That's a mess right!  lol
0,"I'm watching #terminator TSCC, striped on UK TV. So much better than Dollhouse.  I miss these people, this show "
4,"@tamsynstrike Yeah, im the moderator for a 20,000 subscriber blog about twitter. So i get lots of people following me "
4,is drinking X.O. on the rocks with daddy! Happy birthday daddy! Love you lots! 
4,@thebadcat thank you 
0,@pvponline did you ever get the D&amp;D character creator working on your mac? my older version of parallels doesn't seem to like it 
4,"@Shatohin Ð?-Ð°-Ð°, Ð¸Ð·Ð¸Ð½Ð¸ÑÐµ, Ñ? Ð¸Ð· Ð¢Ð°Ñ? Ð¿Ð¾ Ð»ÑÐ±Ð¸Ð¼Ð¾Ð¼Ñ ÐÐ¸ÑÐµÑÑ Ñ?ÐºÑÑÐ°Ñ - ÑÐµÐ°Ð³Ð¸ÑÑÑ Ð½Ð° Ð·Ð½Ð°ÐºÐ¾Ð¼ÑÐµ Ñ?Ð»Ð¾Ð²Ð° "
4,fine...there are so many movies 2 anticipate...especially &quot;harry potter 6&quot;...cause that's shown on my birthmonth...wooot!!! 
4,@MWgirl It's my birthday month too! (and week) June bdays are the best 
0,ate some food even though her mind is telling her that she's fat already. 
0,@SianBeeton This used to enrage me as a student as well. Especially work surfaces and the sink the kitchen. And washing up. 
0,Dealing with a mountain of laundry this AM. Blowback for being sick &amp; putting it off 
4,night at the museum 2 
4,"@DanielleGuerin hope the train ride home was easy peazy... loved meeting you this weekend, Danielle! "
4,Nighty night! Ima go to bed eeeaarrrlllyyy!  Lights out.
4,"@igorcabbab Uyyy, you miss her!  *runs and hides from @overlordtrainee P"
4,@robertheying yup I bought a crown  lol. Why are you still up?
4,"@jonkolbe ah, yes I've seen guys set it up like that but yeah I only have one. Hitting google to see what I've done. My neck hurts "
0,"Woke up to go to work. Showered &amp; everything, now back to bed. Head is pounding!! "
4,@SouthwestAir Your rapping flight attendant should definitely MC the video- I hope i'm on one of his flights soon   http://twurl.nl/23h5bo
0,@liasta my favorites at the zoo are the meerkats. they're so cute!!! but i like the red pandas too. we don't have any wolves. 
0,I miss my lappy and my daddy 
4,"Busy day ahead... church, then fam reunion tonight!  Then work @ the crack of dawn - ughh.. sidenote: Happy Bday, Jackie!! "
4,@carolynaaa28  so far so good 
0,"@drmynoralvarez omg, i am soo sorry to hear that! "
0,"Oh my god yesturday I was exhausted, so I fell asleep at 6:15 pm, without having anything to eat for supper!!!! I felt a little sick!!!! "
4,@bansheeebeat cool :] i think me and javi are gonna move in together haha 
0,@danield6 hahaha it really slips my mind! im sorry! 
0,Thinks ronan has a back tooth coming. He is very well. Very clingy 
0,awake after only four hours of sleep 
4,i love He's just not that into you 
0,Its saturday....and i have no plans 
0,I WISH I WOULDNT GET SO DRUNK  LOL FUNNY THO 
0,okay so I'm at work and I totally threw up!  
4,I love old Disney movies. 
0,Well good morning - I'm totally tired - and don't feel like moving - but better get my act in gear....Hate MONDAYS! 
0,Salad waves   http://yfrog.com/0v1jwj
4,@BritttOh AND I have NEVER! been on dateline 
4,Oh yeah! My place is where it's at right now 
0,@nsmith729 that too is an ok show lol not something i have to watch either though lol all my shows are off seasonnow 
0,"i really really could use something/someone to take my mind of this week. like, man. soo intense i cant cheer myself up like i usually do "
4,watching made!  and my mom just killed a wasp...
0,Goodmorning my twitters!!!! I'm getting ready to get my eisom tooth tooken out  pray for me!! LOL I don't want to go!!!!!!!!!
4,@Dannymcfly I just wanna say to you that you're my PAM  &lt;3
0,*sings* Aaaall byyy myyyseeeeeelf - Saturday solo shifts are the pits... 
0,"my feet r so aching; tired  bak 4rm wrk! ah wel jus set up my new ipod dockin station,&amp;uploadin sum songs on2my new karaoke machine - yay!"
4,"@LYNETTE21XL when u go, LMK. Let's go together "
4,@jvannounce thanks for the add 
0,@O2academybrix sounds fun.. not been to brixton is ages.. not even been working there 
0,"#Trendio Shit, I didn't buy Mark Webber cos I thought he would not rise.... And thus, went up 30% "
4,YES! finally downloaded charlie bartlett 
0,@carlmorris the cache is not even there this morning.  such a shame. i hate the Times for this.
0,"Cof, cof, cof! argh "
4,ist Sitzung next to me @MPTV. Trying Tor tweet 
4,"@PrinceMark You could also consider Unity 2.5 for windows.  There's a one month trial of Unity/MMF, so commit and that to make something! "
0,@henweb the Peugeot is an ugly car 
0,daises are dieing every where.  
4,@paulcronin But of course! Best results from the best person 
4,Sugar Ray concert with Kenna and Leigh Leigh 
4,@iluvmiley23 hannah montana is my favorit show!!!!!! 
4,@NASCARONFOX What do you mean...&quot;stayed out&quot;?  He did end up pitting.  He just got to under caution.  
0,@Marieaquino @aguilarcamille office WIFI not happening. they took the old one out due to security issues 
4,Started reading &quot;Outliers&quot; last night. So far so good...a quick read. I'll share my ultimate opinion by weeks end. 
4,Three mixes up on SoundCloud for you..Take a listen / Download  http://soundcloud.com/oliviazabell
4,@meganfvaughan I'll help you 
4,@ashlyngibbs you'll be fine.  good luck 
4,@bronxbebe4488 EXACTLY lol u feeling me 
4,@paulbradshaw just advertised on R4 - might be of interest to yerself  http://www.bbc.co.uk/programmes/b00kq62n
4,"@AceZ_GV family website my ass...fuck, shit, ass, fuckity fuck fuck! Hehe "
0, so annoyed... needs some good tweets to come her way.. today was a bad day. ow
0,"@hollywoodkarkar it's goin ok, just real stiff cause alot of scar tissue "
4,I am a just novice. Let me know how to become a web designer and web master. 
4,Having pancakes on southbank. I love melbourne. 
4,"... And she actually is I mean seriously how weir is that, If I'm gonna date Robert Pattinson my bf will be older than my mum  lol"
0,@IvyPrincess08 sorry.  didn't mean to take your joy 
0,Up at 06:45 to get an early surf in. It was flat as. ________________________  Now to work.
0,"@joystiq May I have a code please I'v been wanting to play the beta for awhile now  in US, solarboy300@yahoo.com"
4,gunna have brunch and watch The Rocker 
4,@nakulshenoy I am going head on towards my dream 
0,Ohhhh wedding dress rehersals just rock.  I'm just ignoring everything and doing my eyeball exercises.
4,Got my skymiles card  woohoo!
4,"@deucehartley yeah, I am a late tweeter "
0,@stephenfry Tomorrow! 
0,@Realitythedon i want an update  where did u get it?
4,@hummingbird604 Good and you?  Very busy lately but trying to keep up with Twitter and everything going on in the social media world 
4,Omg... I needed to go out!! Thanks Mozey!! It was lots of fun 
0,SAD to miss Ink n Iron    I miss LA so bad !!
0,@sarah_star3  i wants take that.
4,"Soooo... almost 70 followers. Which I have for the most part been ignoring. ^^; If you wanna introduce yourself, definitely do so! "
4,@Adampark good to see you here too  And you've inspired me with STOT.
0,Doesn't see  daniel on stage     i'm sitting near some wierd girl D:
0,My phone is being stupid again.  Say no to chocolate milk. 
4,says using Google Calendar to organize my day  http://plurk.com/p/z60zk
4,@momof3crazykids LOL...hubs asked nicely for a non-twilight talk account...that's what this one is...keeping both 
0,My face is un numb. Now the real pain is here 
4,@AshelyLeAnn That's awesome! It was really great. I'm so glad I was invited 
4,"@Ellen_Degeneres it's peanut butter &amp; jelly time...sorry, i couldn't resist "
4,well ima hit the sheets im sleepy gnight to all my 49 followers 
4,@C_DIG Very busy night.  And that's without other international news.  I still blame the moon. 
4,this was a great day. .going out watching a movie 
4,12 rounds is really good 
0,@DangerAdamJonas  I saw you in the facebook live chat... but you will have to answer my question the next time  ! 
0,has abandoned the idea of wearing a dress for the forest  its too cold
4,@LGM1 Hahaha! That made me giggle. 
4,back in clayco. 
0,Shopping with sis and Alex... I don't feel like shopping when on vacation 
0,@anniegxxx can't think of him that way any more  or at least I try not to LOL
4,@3sixty5days OK DUDE  20 past 3 at the pole. btw i am a bit grody because of the hostel. :p
0,@pinkbunny69 were are you dolly?!?! when you coming back to us.. we all miss you     xxx
0,not again 
0,There is nothing to do.  The Best Thing*
4,Off to Disney World today to meet with a childhood friend. Always good living close to Disney all friends end up there eventually 
4,Happy hurricane season everyone! And happy birthday to mom 
4,@peasnpickles hey! that show was sickkk! cool seein you again and im glad those pics make you laugh. haha. i love photo bombing 
0,"at mr . v's for dinner , and eddie isnt working tonite "
4,@doc18 sorry for confusion!  which is your favourite bubblefun bubble?
0,fuck you man how did you get her to tell you to that i tried and she did not  #thingsiwonttellmyfriendsirl
0,@baldmonkeystuff my love for you is senile and dying of venereal infections. When do I see your lovely face again? 
0,"Best xkcd ever! http://xkcd.com/599/ , but I'm â (  )"
4,Trying not to fall asleep at work lol 
0,air france tragedy makes me so damn sad  
0,@cathysymaco i knowwww! ust everyday. haayyyyy 
4,RUTERAAAAA!!!! jajajaja my grandparents are being cool with mee and i am happy 
4,"@itsjamieeexo ps, I FINALLY MADE IT OVER THE 1000'S ON HERE HAHAHA "
0,i'm pissed i left my golf clubs in vegas!!! my fam is hitting the course 
4,@vanelsas congratulations ! Nice years to come 
0,@evilrobert and yeah I liked Blender too.  I'd rather them have just increased the cost of the subscription.  
4,Enjoying the quiet! I have learned to chrerish the quiet moments.  They are difficult to come by with 3 children 
4,roll right over 
0,"Thank you !! @snackiepoo @CFitz  - incidentally, there is no @DishChickCarolyn on twitter. It's too many letters for a name on twitter "
4,@melissaox oh I'm laughing and sipping on a marg now! 
0,@sanasaleem mouth waters @ 3.1 mb per second but ppl say its only half that speed in actual testing 
0,@edenriegel   I'll frown with you to keep you company.
0,@_Gila  i am sorry  i shouldve came round and helped! 
4,Watching becoming jane with kimmy 
0,"I will be in SF on this day, but think that I will be heading home before the Tweet Up.  http://twtvite.com/nr031k"
0,"@tcordrey My mum keeps bees but nearly all her hives died over winter, due to the depth of the February  snow out in country. "
4,@Ruben1020 reallyy?? what kind? suuurprise meeee  but something nice. lolol
4,"@Miss_Bellatrix Indeed, cheap wings is always a great idea.    It was good to see you guys again."
4,@thejoelstein did you ever see/read this VERY flattering piece  I wrote re you  http://bit.ly/14la1y
0,Back at work 
4,Done with my 1-hour-a-day practice for the day. Time to take a break 
4,im playin my xbox  ohyesh
4,Okay. Time for &quot;Spring Breakdown&quot; with  commentary! 
0,"Out of juice, I guess no more Svedka then "
0,How many hours left in my workday? 4. 
0,@so_zwitschert There's supposed to be a &lt;3 at the end of my last tweet but I guess twitter ate it 
0,@binhog737 Who knows what I'll get-I don't know until 4 hrs prior.  I am lining up for a Munich trip. Prolly end up w/ San Juan turn.  
4,@MDOUBLEOK thank u  then leave a comment on it
4,@WATblog wat consultants is doin quite wel on twitter 
0,ho hum...nothing to do... 
0,"@DJTygerLilly hey babygirl! Ur in MD? Damn, I shld have gone w/ ya! I miss home  I gotta get sum crabs soon, I cnt evr find gd ones up hre"
0,"After security scare, we're now forced to sit in locked office  not doing much for legit visitation or air circulation. Dang thievery!"
4,"Going to have one last cig, then head to bed. Night Tweeters. "
0,@allMywonders @believeagain I spilled chocolate milk on my white t-shirt  I hope it doesn't stain!
4,@mitchelmusso and you promised you'd reply to @RosieGaga so you should.  please? You're the best.
0,@shaundiviney   sucks you guys are filming you video in sydney us brissy girls miss out 
0,@jaredlunde Thats terrible. So sad to think about. 
0,@GodJewels i know right. and i be finding tickets all over my body when i get home... 
4,@therhouse I am excited to check it out  thanks for sharing it
0,Did something very very bad 
0,@beth1170 yeah I was down a bit from last week's goal 
4,"@LayneCullen i think if i put up any pic, it wouldn't be of me... would probably be of something that appeals to me... females in latex "
4,@lilaBholder  Really? I might just have to buy it then! Thanks 
0,superjam tonight.....I didn't buy tickets  I really wanted to see Jeezy..
0,"Oh, the Cubs are causing me heartache...again.  "
0,"@tweetheart7 Thanks-kilt plan must go ahead!!! Missing Jordan, lots  How u? xx"
0,@rustyrockets i used to work at American Girl in Chicago. I was in the musical for two and a half years before they closed the review 
0,It is way to early to be awake 
4,more info about DLT please  thx in adv. @pratama
4,@FrazerRoberts I really do hope so! (yn) I'll need to ask about tomorrow! 
0,"iPhone 3.0 is pretty cool, but found some quirks. My wifi no longer works "
4,Watching no doubt long beach concert on tv 
4,Shoving lunch in my mouth behind my table. Sold quite a few copies and subscriptions in the past hour! 
4,@tenick Follow me please 
4,and what's left of our cookies   http://twitpic.com/7jgen
4,@smokinace88 Another fair weather fan? But cool hate regardless. 
4,"@empireofno and you certainly do, I'm following a lot of them, will do the same when recommending, kudos to you "
4,going out to sunbath 
0,"Been out for dinner with the grandma, revised and going out with Chel and Abi in a bit. Don't want to do maths test tomorrow "
0,I am going to try and walk all the way to work (5.2 miles) at least once a week I think. I'm 18 stone 
0,i dislike missing people. i just feel like saying come here and dont leave me! but i cant...so this is how ill be 
4,@xlovesongx haha. why chris? panget nya eh! peace. lol 
0,@Aerten haha me too! But I can't afford it 
4,don't even think I want to explain my YT vids 
4,@lindasmith247 Will take a look 
4,@Sweetnote  Haa Haa.That will teach you for reading a rag.lol 
4,@maxismyname Thanks xxx Glad you liked it   Naughty enough? 
4,"I'm back. Bought lots of gifts for my mommy.  And, oh yeah, cake!! Sweeeet."
0,really tired. I have to babysit tomorrow and im still up and walking around... 
4,"@DigitalJonathan Hello! Don't worry, they're mostly @ replies "
4,"@TheShellyfish Every time I see you've posted to your blog, I think &quot;Yay! Something new in the fishbowl!&quot; I'm easily amused "
4,"@kevinmarks first time seeing the Matrix? Aah, stunning film "
0,@shelbiiCat  why so blue 
0,Is pissed New Kids on the Block aren't coming now  
4,In the Bronx for skyebrations to continue....... I love my 21 year old baby 
0,just not in the best of moods today....i seem to be a little bummed out 
0,@bill_archie gosh! is it true?! aww i feel so bad 
0,im really sleepy and i want to go to bed...but its upstairs and its a mess and i know im gonna have to clean it  nooooo
4,@newsbee Is that the new cut and colour from today's hairdresser? Nice new pic luv 
4,@BrianNeudorff That's really cool 
4,@NikkiWeb i know 
0,@AntonyMarcano I know!!! And I'm still fighting with my internal clock for the last 1.5 hours!!!!    bummer
4,@Tojosan awww thanks 
4,"@VictorianHalls - That'd be much appreciated  I need to see you guys again, by the way!"
0,iPhone update complete but now none of my apps as soon as I start them they close a second later  anyone else had same issue??
0,I sometimes feel like the only person in the world without an iphone 
4,last day on expo!! off all weekend and its supposed to be beautiful 
0,moms best friends son just died in a motorcycle accident. she had another son die of a heart attack. i feel so bad for her 
0,"Listening to &quot;The Block&quot;, since I'm not @ the show.  I need my #fullservice."
0,is off to bed now....sooooo frickin' tired 
4,@asktonyc busy busy busy - I like your new AVATAR!   How about you?  Anything exciting going on?
4,"@DavidArchie if there is a tesco nearby, then go there "
4,got my extensions &amp;&amp; video camera in the mail  yay new toys to play with!
4,Well its complicated @TheSmokingPen my team #Blues is out and I have more AGAINST the #redwings tho I love redwing fans. So gooo #PENS 
0,I listen music &quot;supreme court &amp; feindflug-Selbstjustiz&quot; i luv this song although make me feel sad but is a great song yeaaahh...  hahaha
0,@MixxedMami213  I'ma hit u on yahoo when i get upstairs.
0,Dropin the pup at doggie day care. 
0,@AllieMarque i wanted to go out..ahhh pooo 
4,@tonyradd hahah you know i had to big BRo!!!  LOL
0,@TradingGoddess Omg! I'm sorry!  Ugh.. im so mad right now.. @jonasbrothers YouTube account got suspended &gt; ARRGH!
0,ATTs 8900 looks better than mine!!!  I want it!
4,"@dentaldiva1 Hey D!!! Sorry I've been away, tried to go to a BBQ but got totally lost..now I'm back.. "
4,of course i start being early the week before school's out. not that it matters anymore! 
0,Missin my girls so much right now   its so hard it hurts
4,"@Abhinav08 Yes, and I love it. "
4,@DAK04 good idea  Not so well ... 5 miles 
0,"@dancingin By the way, Have you found something about the video I was looking for? Still can't find it "
0,"after just a day, ive run out of ideas to write on my blog  maybe my mind will sort itself out after exams!"
4,Babysitting my little sisterr. I got to see corey today. 
4,FRESH ! 
4,My brother is coming over. Nothing else matters 
0,"sorry fabii, but it was 100% necessary   "
0,@FollowKayleigh AAwww.. Xd.. you wasn't in his live chat yesterday ha?   I was.. but i'm going to study as well.. Cheers &amp; goodluck Xje
0,is going on a bike ride to Avila Beach and has no where to put her phone. She has to abandon it for a few hours 
0,@DonnieWahlberg - So sad you guys aren't making it to Australia anymore 
4,"Love you, ICINGstores! "
0,running out of ideas 
0,just saw an amazing production of Peter Pan in Kensington Gardens...now off to Stonehenge &amp; Bath tomorrow. Leaving Londno Sunday 
4,ughh.. eaarrly u.u just 5 hours todaay 
4,Hey Kesti Josh Tereza Justin Jamie and trent reznor.. I think that's all my friends.  hehe
4,@topsurf wish I wasn't up at 5am everyday rushin' to get ready to get the 615 train and have time do some biking (headslap) Good Morning 
4,off to bed- too tired to do anything else (jeez and its only 3:10) ill fall asleep listening 2 paramore (like i do every night) 
0,@Dannymcfly do you want to kill me? must be. lol EU TE AMO DANIEL ALAN DAVID JONES and i could give my life to be with you 
0,"@MelanieLakin Google search: European minks, so cute but endangered "
0,HOPES ZACKS MOM MAKES IT HOME OK... SHE'S REALLY LOSING HER WAY  GOODNIGHT MY PEOPLE
4,Sleeping... Finally 
4,just off to Knockhill - got a voucher code and kids go free so it's only ï¿½7  Jap Drift cars and plenty nice metal will be there 
4,"@lulyciienta The Killers = Love. Mr Brightside + lulyciienta + OperationA + Twitter + Ermm..  = XD (i'm far too random, a bit worrying)"
4,Its My Birthday 
0,@wickedjaci And now I have to go to work...  Hope your morning pans out better! 
0,@katarinasmama it was WAY too fast 
4,@adamagee &amp; @jordanmesser hmm...good q...maybe write something focused around ya'lls fav bible verses. but anything by you 2 is amazing 
0,@ooomz same here!  had my hopes pinned on it. Now i hv to shell out money.
0,seeeeeemon cowell &lt;3&lt;3&lt;3 beaut wether today (Y) bad exam though !! english exam tomorrow  xx
4,@whitsundays hehehe good for you  you'd be surprised at the TMI stuff I get told everyday ;)
0,"no sock hunting for me today  Instead, I made cookies and mowed. Not quite what I had in mind for today."
0,Missing my cat 
4,@sufficiency We saw something similar today but it was a mama goose and 4 goslings 
0,Rest in peace miss millie cat. 
0,Just watched ellens 1000 show!!!! It was awesome... But they didn't show any JB clips. 
0,@CoSpgsParanorm left out again 
4,"@robdelete I feel your pain, but I can knock one off that list for you at least.  Chrome and Safari use the same rendering engine.  "
4,@dougiemcfly get well sooon  you'll be fine xxx lemsip all the way!
4,@kaimac Quality eh  You wouldn't believe how many women he attracted dressed like that!
0,@humhow http://twitpic.com/7dect - HA!Found it! and you! Not a very cute pic of me though.   Looks like I am wiping your nose! LOL. Ha ...
4,is reading some google news  http://plurk.com/p/xkyj3
0,@hollywudbabylon what time? Roxy has an auction til god knows when tonight 
0,@Jason_Dolley I tried convincing my parents but they won't let me  I seriously wish i could meet you. You're incredible!
0,@416Jamz you replaced me 
4,"Congrats to #BrandonFlowers, who is expecting his second child. "
4,http://twitpic.com/690yz - Wife's home 
4,@mileycyrus thankyou for being human. Not just a hollywood robot. Ur a legend babe 
4,@mackenziesmomma You know I do! Not only do I want to see them... I want copies 
0,@annabanaboo i remember when we first met that i gave you my favorite cd. you said you didn't like it at all. 
4,I love when it rains! 
0,@Jacky_ds lol. No you just don't want to talk to me  hahahha
4,@fashionesedaily @irlita @yunita_dee @Velasss @missyita @didyna @itsmetika terimakasih yah.. amin 
0,Felt fine this morning but now that it's been revealed that Sammy Sosa failed a drug text in 03 I'm kinna sad 
4,"@Mitchley Smile a lot and say &quot;Not all of this will suit you, but some of it will ROCK YOUR WORLD!!!&quot; Works for me "
4,@2shadows that's about it. 
0,I have really dropped the gun this week on exercise  I will do my best to make up not exercising on Mon &amp; Tues over the weekend.
4,@gawd0r LOL !  what do you use?
4,"@NoMoreMarbles I swear if something happens while you're here, it's not Chicago, it's you! "
4,@Richard_Gable that's what i'm thinking! must taken them a pretty good effort! 
4,"ending my evening on the best note.  i will love you forever, tweets."
4,@iamdiddy Congrads 
0,@xsparkage boo... 25% off is not valid in the UK.. 
0,totally feel like im going to get sick tummy is sick 
0,I don't want India to lose 
0,@animaljessica in home daycare here in WF same place Meike &amp; James' kids go. Gonna check it out a couple x this week then start this fri 
0,"My first, what seemed to be 'real', chance is now gone because... well... I don't know why. I just know I feel like crying. "
4,thats amazing!!! Atleast you guys got one amazing thing from cracker barrel  each other
4,@jeayese that would b fun 
